,predicted_price,current_price,price_delta,pct_change,action
628,69.92,69.99,-0.07,-0.1,decrease
629,74.85,74.99,-0.14,-0.19,decrease
630,30.09,29.99,0.1,0.35,increase
631,35.06,34.99,0.07,0.19,increase
632,40.04,39.99,0.05,0.13,increase
633,45.03,44.99,0.04,0.08,increase
634,50.02,49.99,0.03,0.06,increase
635,55.02,54.99,0.03,0.05,increase
636,60.01,59.99,0.02,0.03,increase
637,64.92,64.99,-0.07,-0.11,decrease
638,69.82,69.99,-0.17,-0.25,decrease
639,74.69,74.99,-0.3,-0.4,decrease
640,30.25,29.99,0.26,0.87,increase
641,35.09,34.99,0.1,0.28,increase
642,40.06,39.99,0.07,0.18,increase
643,45.04,44.99,0.05,0.12,increase
644,50.03,49.99,0.04,0.08,increase
645,54.92,54.99,-0.07,-0.12,decrease
646,59.9,59.99,-0.09,-0.15,decrease
647,64.87,64.99,-0.12,-0.19,decrease
648,69.82,69.99,-0.17,-0.25,decrease
649,74.62,74.99,-0.37,-0.5,decrease
650,30.28,29.99,0.29,0.98,increase
651,35.17,34.99,0.18,0.51,increase
652,40.09,39.99,0.1,0.24,increase
653,45.06,44.99,0.07,0.15,increase
654,50.0,49.99,0.01,0.02,hold
655,55.0,54.99,0.01,0.02,increase
656,59.97,59.99,-0.02,-0.03,decrease
657,64.95,64.99,-0.04,-0.06,decrease
658,69.92,69.99,-0.07,-0.1,decrease
659,74.85,74.99,-0.14,-0.19,decrease
660,30.09,29.99,0.1,0.35,increase
661,35.06,34.99,0.07,0.19,increase
662,40.04,39.99,0.05,0.13,increase
663,45.03,44.99,0.04,0.08,increase
664,50.02,49.99,0.03,0.06,increase
665,55.02,54.99,0.03,0.05,increase
666,60.01,59.99,0.02,0.03,increase
667,64.92,64.99,-0.07,-0.11,decrease
668,69.82,69.99,-0.17,-0.25,decrease
669,74.69,74.99,-0.3,-0.4,decrease
670,30.25,29.99,0.26,0.87,increase
671,35.09,34.99,0.1,0.28,increase
672,40.06,39.99,0.07,0.18,increase
673,45.04,44.99,0.05,0.12,increase
674,50.03,49.99,0.04,0.08,increase
675,54.92,54.99,-0.07,-0.12,decrease
676,59.9,59.99,-0.09,-0.15,decrease
677,64.87,64.99,-0.12,-0.19,decrease
678,69.82,69.99,-0.17,-0.25,decrease
679,74.62,74.99,-0.37,-0.5,decrease
680,30.28,29.99,0.29,0.98,increase
681,35.17,34.99,0.18,0.51,increase
682,40.09,39.99,0.1,0.24,increase
683,45.06,44.99,0.07,0.15,increase
684,50.0,49.99,0.01,0.02,hold
685,55.0,54.99,0.01,0.02,increase
686,59.97,59.99,-0.02,-0.03,decrease
687,64.95,64.99,-0.04,-0.06,decrease
688,69.92,69.99,-0.07,-0.1,decrease
689,74.85,74.99,-0.14,-0.19,decrease
690,30.09,29.99,0.1,0.35,increase
691,35.06,34.99,0.07,0.19,increase
692,40.04,39.99,0.05,0.13,increase
693,45.03,44.99,0.04,0.08,increase
694,50.02,49.99,0.03,0.06,increase
695,55.02,54.99,0.03,0.05,increase
696,60.01,59.99,0.02,0.03,increase
697,64.99,64.99,-0.0,-0.0,hold
698,69.89,69.99,-0.1,-0.14,decrease
699,74.85,74.99,-0.14,-0.19,decrease
700,30.07,29.99,0.08,0.27,increase
701,35.01,34.99,0.02,0.06,increase
702,39.99,39.99,-0.0,-0.0,hold
703,45.04,44.99,0.05,0.12,increase
704,50.03,49.99,0.04,0.08,increase
705,54.92,54.99,-0.07,-0.12,decrease
706,59.9,59.99,-0.09,-0.15,decrease
707,64.87,64.99,-0.12,-0.19,decrease
708,69.82,69.99,-0.17,-0.25,decrease
709,74.62,74.99,-0.37,-0.5,decrease
710,30.28,29.99,0.29,0.98,increase
711,35.17,34.99,0.18,0.51,increase
712,40.09,39.99,0.1,0.24,increase
713,45.06,44.99,0.07,0.15,increase
714,50.0,49.99,0.01,0.02,hold
715,55.0,54.99,0.01,0.02,increase
716,59.97,59.99,-0.02,-0.03,decrease
717,64.95,64.99,-0.04,-0.06,decrease
718,69.92,69.99,-0.07,-0.1,decrease
719,74.85,74.99,-0.14,-0.19,decrease
720,30.09,29.99,0.1,0.35,increase
721,35.06,34.99,0.07,0.19,increase
722,40.04,39.99,0.05,0.13,increase
723,45.03,44.99,0.04,0.08,increase
724,50.02,49.99,0.03,0.06,increase
725,55.02,54.99,0.03,0.05,increase
726,60.01,59.99,0.02,0.03,increase
727,64.92,64.99,-0.07,-0.11,decrease
728,69.82,69.99,-0.17,-0.25,decrease
729,74.69,74.99,-0.3,-0.4,decrease
730,30.25,29.99,0.26,0.87,increase
731,35.09,34.99,0.1,0.28,increase
732,40.06,39.99,0.07,0.18,increase
733,45.04,44.99,0.05,0.12,increase
734,50.03,49.99,0.04,0.08,increase
735,54.92,54.99,-0.07,-0.12,decrease
736,59.9,59.99,-0.09,-0.15,decrease
737,64.87,64.99,-0.12,-0.19,decrease
738,69.82,69.99,-0.17,-0.25,decrease
739,74.62,74.99,-0.37,-0.5,decrease
740,30.28,29.99,0.29,0.98,increase
741,35.17,34.99,0.18,0.51,increase
742,40.09,39.99,0.1,0.24,increase
743,45.06,44.99,0.07,0.15,increase
744,50.0,49.99,0.01,0.02,hold
745,55.0,54.99,0.01,0.02,increase
746,59.97,59.99,-0.02,-0.03,decrease
747,64.95,64.99,-0.04,-0.06,decrease
748,69.92,69.99,-0.07,-0.1,decrease
749,74.85,74.99,-0.14,-0.19,decrease
750,30.09,29.99,0.1,0.35,increase
751,35.06,34.99,0.07,0.19,increase
752,40.04,39.99,0.05,0.13,increase
753,45.03,44.99,0.04,0.08,increase
754,50.02,49.99,0.03,0.06,increase
755,55.02,54.99,0.03,0.05,increase
756,60.01,59.99,0.02,0.03,increase
757,64.92,64.99,-0.07,-0.11,decrease
758,69.82,69.99,-0.17,-0.25,decrease
759,74.69,74.99,-0.3,-0.4,decrease
760,30.25,29.99,0.26,0.87,increase
761,35.09,34.99,0.1,0.28,increase
762,40.06,39.99,0.07,0.18,increase
763,45.04,44.99,0.05,0.12,increase
764,50.03,49.99,0.04,0.08,increase
765,54.92,54.99,-0.07,-0.12,decrease
766,59.9,59.99,-0.09,-0.15,decrease
767,64.87,64.99,-0.12,-0.19,decrease
768,69.82,69.99,-0.17,-0.25,decrease
769,74.62,74.99,-0.37,-0.5,decrease
770,30.28,29.99,0.29,0.98,increase
771,35.17,34.99,0.18,0.51,increase
772,40.09,39.99,0.1,0.24,increase
773,45.06,44.99,0.07,0.15,increase
774,50.0,49.99,0.01,0.02,hold
775,55.0,54.99,0.01,0.02,increase
776,59.97,59.99,-0.02,-0.03,decrease
777,64.95,64.99,-0.04,-0.06,decrease
778,69.92,69.99,-0.07,-0.1,decrease
779,74.85,74.99,-0.14,-0.19,decrease
780,30.09,29.99,0.1,0.35,increase
781,35.06,34.99,0.07,0.19,increase
782,40.04,39.99,0.05,0.13,increase
783,45.03,44.99,0.04,0.08,increase
784,50.02,49.99,0.03,0.06,increase
785,55.02,54.99,0.03,0.05,increase
786,60.01,59.99,0.02,0.03,increase
787,64.92,64.99,-0.07,-0.11,decrease
788,69.82,69.99,-0.17,-0.25,decrease
789,74.69,74.99,-0.3,-0.4,decrease
790,30.25,29.99,0.26,0.87,increase
791,35.09,34.99,0.1,0.28,increase
792,40.06,39.99,0.07,0.18,increase
793,45.04,44.99,0.05,0.12,increase
794,50.03,49.99,0.04,0.08,increase
795,54.92,54.99,-0.07,-0.12,decrease
796,59.9,59.99,-0.09,-0.15,decrease
797,64.94,64.99,-0.05,-0.08,decrease
798,69.89,69.99,-0.1,-0.14,decrease
799,74.83,74.99,-0.16,-0.21,decrease
800,30.1,29.99,0.11,0.38,increase
801,35.09,34.99,0.1,0.3,increase
802,40.01,39.99,0.02,0.06,increase
803,45.06,44.99,0.07,0.15,increase
804,50.0,49.99,0.01,0.02,hold
805,55.0,54.99,0.01,0.02,increase
806,59.97,59.99,-0.02,-0.03,decrease
807,64.95,64.99,-0.04,-0.06,decrease
808,69.92,69.99,-0.07,-0.1,decrease
809,74.85,74.99,-0.14,-0.19,decrease
810,30.09,29.99,0.1,0.35,increase
811,35.06,34.99,0.07,0.19,increase
812,40.04,39.99,0.05,0.13,increase
813,45.03,44.99,0.04,0.08,increase
814,50.02,49.99,0.03,0.06,increase
815,55.02,54.99,0.03,0.05,increase
816,60.01,59.99,0.02,0.03,increase
817,64.92,64.99,-0.07,-0.11,decrease
818,69.82,69.99,-0.17,-0.25,decrease
819,74.69,74.99,-0.3,-0.4,decrease
820,30.25,29.99,0.26,0.87,increase
821,35.09,34.99,0.1,0.28,increase
822,40.06,39.99,0.07,0.18,increase
823,45.04,44.99,0.05,0.12,increase
824,50.03,49.99,0.04,0.08,increase
825,54.92,54.99,-0.07,-0.12,decrease
826,59.9,59.99,-0.09,-0.15,decrease
827,64.87,64.99,-0.12,-0.19,decrease
828,69.82,69.99,-0.17,-0.25,decrease
829,74.62,74.99,-0.37,-0.5,decrease
830,30.28,29.99,0.29,0.98,increase
831,35.17,34.99,0.18,0.51,increase
832,40.09,39.99,0.1,0.24,increase
833,45.06,44.99,0.07,0.15,increase
834,50.0,49.99,0.01,0.02,hold
835,55.0,54.99,0.01,0.02,increase
836,59.97,59.99,-0.02,-0.03,decrease
837,64.95,64.99,-0.04,-0.06,decrease
838,69.92,69.99,-0.07,-0.1,decrease
839,74.85,74.99,-0.14,-0.19,decrease
840,30.09,29.99,0.1,0.35,increase
841,35.06,34.99,0.07,0.19,increase
842,40.04,39.99,0.05,0.13,increase
843,45.03,44.99,0.04,0.08,increase
844,50.02,49.99,0.03,0.06,increase
845,55.02,54.99,0.03,0.05,increase
846,60.01,59.99,0.02,0.03,increase
847,64.92,64.99,-0.07,-0.11,decrease
848,69.82,69.99,-0.17,-0.25,decrease
849,74.69,74.99,-0.3,-0.4,decrease
850,30.25,29.99,0.26,0.87,increase
851,35.09,34.99,0.1,0.28,increase
852,40.06,39.99,0.07,0.18,increase
853,45.04,44.99,0.05,0.12,increase
854,50.03,49.99,0.04,0.08,increase
855,54.92,54.99,-0.07,-0.12,decrease
856,59.9,59.99,-0.09,-0.15,decrease
857,64.87,64.99,-0.12,-0.19,decrease
858,69.82,69.99,-0.17,-0.25,decrease
859,74.62,74.99,-0.37,-0.5,decrease
860,30.28,29.99,0.29,0.98,increase
861,35.17,34.99,0.18,0.51,increase
862,40.09,39.99,0.1,0.24,increase
863,45.06,44.99,0.07,0.15,increase
864,50.0,49.99,0.01,0.02,hold
865,55.0,54.99,0.01,0.02,increase
866,59.97,59.99,-0.02,-0.03,decrease
867,64.95,64.99,-0.04,-0.06,decrease
868,69.92,69.99,-0.07,-0.1,decrease
869,74.85,74.99,-0.14,-0.19,decrease
870,30.09,29.99,0.1,0.35,increase
871,35.06,34.99,0.07,0.19,increase
872,40.04,39.99,0.05,0.13,increase
873,45.03,44.99,0.04,0.08,increase
874,50.02,49.99,0.03,0.06,increase
875,55.02,54.99,0.03,0.05,increase
876,60.01,59.99,0.02,0.03,increase
877,64.92,64.99,-0.07,-0.11,decrease
878,69.82,69.99,-0.17,-0.25,decrease
879,74.69,74.99,-0.3,-0.4,decrease
880,30.25,29.99,0.26,0.87,increase
881,35.09,34.99,0.1,0.28,increase
882,40.06,39.99,0.07,0.18,increase
883,45.04,44.99,0.05,0.12,increase
884,50.03,49.99,0.04,0.08,increase
885,54.92,54.99,-0.07,-0.12,decrease
886,59.9,59.99,-0.09,-0.15,decrease
887,64.87,64.99,-0.12,-0.19,decrease
888,69.82,69.99,-0.17,-0.25,decrease
889,74.62,74.99,-0.37,-0.5,decrease
890,30.28,29.99,0.29,0.98,increase
891,35.17,34.99,0.18,0.51,increase
892,40.09,39.99,0.1,0.24,increase
893,45.06,44.99,0.07,0.15,increase
894,50.0,49.99,0.01,0.02,hold
895,55.0,54.99,0.01,0.02,increase
896,59.97,59.99,-0.02,-0.03,decrease
897,64.97,64.99,-0.02,-0.04,decrease
898,69.9,69.99,-0.09,-0.12,decrease
899,75.03,74.99,0.04,0.05,increase
900,30.09,29.99,0.1,0.32,increase
901,35.08,34.99,0.09,0.24,increase
902,40.02,39.99,0.03,0.08,increase
903,45.03,44.99,0.04,0.08,increase
904,50.02,49.99,0.03,0.06,increase
905,55.02,54.99,0.03,0.05,increase
906,60.01,59.99,0.02,0.03,increase
907,64.92,64.99,-0.07,-0.11,decrease
908,69.82,69.99,-0.17,-0.25,decrease
909,74.69,74.99,-0.3,-0.4,decrease
910,30.25,29.99,0.26,0.87,increase
911,35.09,34.99,0.1,0.28,increase
912,40.06,39.99,0.07,0.18,increase
913,45.04,44.99,0.05,0.12,increase
914,50.03,49.99,0.04,0.08,increase
915,54.92,54.99,-0.07,-0.12,decrease
916,59.9,59.99,-0.09,-0.15,decrease
917,64.87,64.99,-0.12,-0.19,decrease
918,69.82,69.99,-0.17,-0.25,decrease
919,74.62,74.99,-0.37,-0.5,decrease
920,30.28,29.99,0.29,0.98,increase
921,35.17,34.99,0.18,0.51,increase
922,40.09,39.99,0.1,0.24,increase
923,45.06,44.99,0.07,0.15,increase
924,50.0,49.99,0.01,0.02,hold
925,55.0,54.99,0.01,0.02,increase
926,59.97,59.99,-0.02,-0.03,decrease
927,64.95,64.99,-0.04,-0.06,decrease
928,69.92,69.99,-0.07,-0.1,decrease
929,74.85,74.99,-0.14,-0.19,decrease
930,30.09,29.99,0.1,0.35,increase
931,35.06,34.99,0.07,0.19,increase
932,40.04,39.99,0.05,0.13,increase
933,45.03,44.99,0.04,0.08,increase
934,50.02,49.99,0.03,0.06,increase
935,55.02,54.99,0.03,0.05,increase
936,60.01,59.99,0.02,0.03,increase
937,64.92,64.99,-0.07,-0.11,decrease
938,69.82,69.99,-0.17,-0.25,decrease
939,74.69,74.99,-0.3,-0.4,decrease
940,30.25,29.99,0.26,0.87,increase
941,35.09,34.99,0.1,0.28,increase
942,40.06,39.99,0.07,0.18,increase
943,45.04,44.99,0.05,0.12,increase
944,50.03,49.99,0.04,0.08,increase
945,54.92,54.99,-0.07,-0.12,decrease
946,59.9,59.99,-0.09,-0.15,decrease
947,64.87,64.99,-0.12,-0.19,decrease
948,69.82,69.99,-0.17,-0.25,decrease
949,74.62,74.99,-0.37,-0.5,decrease
950,30.28,29.99,0.29,0.98,increase
951,35.17,34.99,0.18,0.51,increase
952,40.09,39.99,0.1,0.24,increase
953,45.06,44.99,0.07,0.15,increase
954,50.0,49.99,0.01,0.02,hold
955,55.0,54.99,0.01,0.02,increase
956,59.97,59.99,-0.02,-0.03,decrease
957,64.95,64.99,-0.04,-0.06,decrease
958,69.92,69.99,-0.07,-0.1,decrease
959,74.85,74.99,-0.14,-0.19,decrease
960,30.09,29.99,0.1,0.35,increase
961,35.06,34.99,0.07,0.19,increase
962,40.04,39.99,0.05,0.13,increase
963,45.03,44.99,0.04,0.08,increase
964,50.02,49.99,0.03,0.06,increase
965,55.02,54.99,0.03,0.05,increase
966,60.01,59.99,0.02,0.03,increase
967,64.92,64.99,-0.07,-0.11,decrease
968,69.82,69.99,-0.17,-0.25,decrease
969,74.69,74.99,-0.3,-0.4,decrease
970,30.25,29.99,0.26,0.87,increase
971,35.09,34.99,0.1,0.28,increase
972,40.06,39.99,0.07,0.18,increase
973,45.04,44.99,0.05,0.12,increase
974,50.03,49.99,0.04,0.08,increase
975,54.92,54.99,-0.07,-0.12,decrease
976,59.9,59.99,-0.09,-0.15,decrease
977,64.87,64.99,-0.12,-0.19,decrease
978,69.82,69.99,-0.17,-0.25,decrease
979,74.62,74.99,-0.37,-0.5,decrease
980,30.28,29.99,0.29,0.98,increase
981,35.17,34.99,0.18,0.51,increase
982,40.09,39.99,0.1,0.24,increase
983,45.06,44.99,0.07,0.15,increase
984,50.0,49.99,0.01,0.02,hold
985,55.0,54.99,0.01,0.02,increase
986,59.97,59.99,-0.02,-0.03,decrease
987,64.95,64.99,-0.04,-0.06,decrease
988,69.92,69.99,-0.07,-0.1,decrease
989,74.85,74.99,-0.14,-0.19,decrease
990,30.09,29.99,0.1,0.35,increase
991,35.06,34.99,0.07,0.19,increase
992,40.04,39.99,0.05,0.13,increase
993,45.03,44.99,0.04,0.08,increase
994,50.02,49.99,0.03,0.06,increase
995,55.02,54.99,0.03,0.05,increase
996,60.01,59.99,0.02,0.03,increase
997,64.99,64.99,-0.0,-0.0,hold
998,69.89,69.99,-0.1,-0.14,decrease
999,74.85,74.99,-0.14,-0.19,decrease
